Movie Name,IMDB Rating,Genre,Positive Feedback,Referable
Miss Jerry,5.9,Romance,154,TRUE
The Story of the Kelly Gang,6.1,Biography,589,FALSE
From the Manger to the Cross,5.7,Drama,484,FALSE
Madame DuBarry,6.8,Romance,753,TRUE
Richard III,5.5,Drama,225,TRUE
Atlantis,6.6,Drama,331,FALSE
Traffic in Souls,6,Crime,552,TRUE
The Avenging Conscience,6.4,Horror,1105,TRUE
The Bargain,6.5,Western,144,TRUE
Cabiria,7.1,Drama,3073,TRUE
Cinderella,6,Fantasy,929,FALSE
A Florida Enchantment,5.8,Comedy,202,FALSE
His Majesty the Scarecrow of Oz,5.2,Adventure,415,FALSE
Hypocrites,6.6,Drama,456,TRUE
In the Land of the Head Hunters,5.8,Drama,402,FALSE
Judith of Bethulia,6.1,Drama,1239,FALSE
The Patchwork Girl of Oz,5.5,Fantasy,382,TRUE
The Perils of Pauline,6.3,Drama,939,TRUE
The Squaw Man,5.7,Romance,879,TRUE
Uncle Tom's Cabin,5.3,Drama,112,FALSE
